region,age,ageCount,classification
South West,3,56616,Rural
South West,4,58138,Rural
South West,5,60589,Rural
South West,6,60142,Rural
South West,7,61114,Rural
South West,8,63918,Rural
South West,9,65310,Rural
South West,10,65023,Rural
South West,11,64380,Rural
South West,12,63678,Rural
South West,13,63998,Rural
South West,14,62547,Rural
South West,15,60202,Rural
South West,16,60923,Rural
South West,17,61602,Rural
South West,18,63502,Rural
South West,19,67414,Rural
South West,20,67226,Rural
South West,21,67351,Rural
South West,22,67439,Rural
South West,23,65501,Rural
South West,24,64685,Rural
South West,25,64153,Rural
South West,26,65429,Rural
South West,27,66481,Rural
South West,28,67184,Rural
South West,29,68924,Rural
South West,30,71308,Rural
South West,31,71313,Rural
South West,32,71198,Rural
South West,33,72154,Rural
South West,34,69967,Rural
South West,35,69498,Rural
South West,36,69115,Rural
South West,37,68679,Rural
South West,38,67883,Rural
South West,39,68865,Rural
South West,40,70257,Rural
South West,41,69185,Rural
South West,42,65944,Rural
South West,43,61885,Rural
South West,44,62202,Rural
South West,45,63828,Rural
South West,46,66596,Rural
South West,47,69383,Rural
South West,48,72899,Rural
South West,49,76561,Rural
South West,50,77982,Rural
South West,51,77762,Rural
South West,52,79537,Rural
South West,53,80061,Rural
South West,54,81874,Rural
South West,55,82906,Rural
South West,56,83089,Rural
South West,57,82121,Rural
South West,58,80325,Rural
South West,59,78417,Rural
South West,60,76499,Rural
South West,61,73296,Rural
South West,62,72739,Rural
South West,63,70746,Rural
South West,64,68323,Rural
South West,65,65281,Rural
South West,66,64872,Rural
South West,67,66090,Rural
South West,68,63788,Rural
South West,69,63744,Rural
South West,70,63390,Rural
South West,71,65806,Rural
South West,72,67246,Rural
South West,73,73423,Rural
South West,74,73034,Rural
South West,75,55139,Rural
South West,76,58424,Rural
South West,77,52600,Rural
South West,78,49035,Rural
South West,79,41116,Rural
South West,80,37579,Rural
South West,81,37892,Rural
South West,82,35577,Rural
South West,83,32850,Rural
South West,84,30418,Rural
South West,85,27011,Rural
South West,86,24601,Rural
South West,87,21372,Rural
South West,88,19428,Rural
South West,89,17052,Rural
South West,90,15049,Rural
South West,91,12166,Rural
South West,92,9934,Rural
South West,93,7847,Rural
South West,94,6170,Rural
South West,95,4644,Rural
South West,96,3504,Rural
South West,97,2517,Rural
South West,98,1809,Rural
South West,99,1362,Rural
South West,100,1861,Rural
Wales,0,28336,Rural
Wales,1,29828,Rural
Wales,2,31158,Rural
Wales,3,32407,Rural
Wales,4,33357,Rural
Wales,5,34446,Rural
Wales,6,34085,Rural
Wales,7,34380,Rural
Wales,8,36201,Rural
Wales,9,36813,Rural
Wales,10,37048,Rural
Wales,11,36774,Rural
Wales,12,36785,Rural
Wales,13,36778,Rural
Wales,14,35317,Rural
Wales,15,34365,Rural
Wales,16,35251,Rural
Wales,17,34284,Rural
Wales,18,34584,Rural
Wales,19,37286,Rural
Wales,20,36918,Rural
Wales,21,37800,Rural
Wales,22,37853,Rural
Wales,23,37409,Rural
Wales,24,37695,Rural
Wales,25,36043,Rural
Wales,26,36675,Rural
Wales,27,37239,Rural
Wales,28,37670,Rural
Wales,29,38833,Rural
Wales,30,40035,Rural
Wales,31,38646,Rural
Wales,32,39242,Rural
Wales,33,39341,Rural
Wales,34,38950,Rural
Wales,35,37940,Rural
Wales,36,37855,Rural
Wales,37,36837,Rural
Wales,38,36862,Rural
Wales,39,36737,Rural
Wales,40,37767,Rural
Wales,41,37161,Rural
Wales,42,34610,Rural
Wales,43,32685,Rural
Wales,44,33128,Rural
Wales,45,33716,Rural
Wales,46,35269,Rural
Wales,47,36325,Rural
Wales,48,38994,Rural
Wales,49,41773,Rural
Wales,50,42781,Rural
Wales,51,42252,Rural
